评论,正向指数,负向指数,情感分类
"('10月21日全国扫黑办召开新闻发布会，大家关心的这些问题都有了明确的答案。国家监委与最高人民法院、最高人民检察院、公安部、司法部联合印发的《关于在扫黑除恶专项斗争中分工负责、互相配合、互相制约 严惩公职人员涉黑涉恶违法犯罪问题的通知》全国扫黑除恶专项斗争领导小组办公室：http://www.12337.gov.cn/中共中央纪律检查委员会/中华人民共和国国家监察委员会：http://www.12388.gov.cn/中华人民共和国最高人民检察院：http://www.12309.gov.cn/中华人民共和国公安部举报中心：http://www.12389.gov.cn/中央网信办（国家互联网信息办公室）违法和不良信息举报中心：http://www.12377.cn/任何组织和个人不得通过虐待、胁迫等非法手段从事预防和干预未成年人沉迷网络的活动，损害未成年人身心健康，侵犯未成年人合法权益。',)","('55.83%',)","('44.17%',)",负向
"('其实很多家长为了治好孩子所谓的网瘾叛逆把孩子送进这种学校真的没有去考虑到为什么会这样，我一直认为网瘾的根本原因其实95%以上不是因为游戏。像之前杨永信说游戏的那种就像毒品一样。因为游戏确实好玩但是真正单靠游戏就能让人上瘾真的不多。很多的孩子网瘾的原因，可能仅仅是家长止注重孩子学习，不去关注孩子的社交生活，不去关注孩子真正的需求。在他在学校被孤立或者是因为性格原因难以融入学校团体的时候只能在虚拟的网络世界寻找自己的快乐。也许是家长的疏于管教，过于专心于事业甚至于不务正业（外出吃饭打麻将）让孩子感受不到家庭的温暖只能吧多余的精力投入到别的地方（比如游戏）。我从来不认为游戏会毁掉一个人。而当一个人沉迷游戏肯定不仅仅是因为游戏好玩。孤独，社交障碍，确实家庭关心，家长教育不当。这些才是导致网瘾的根本原因。而这些正是现在中国教育所缺少的。总觉得提供给孩子好的学习环境让孩子吃饱穿暖上口碑好的学校就是教育了。一味的关心孩子的学习不去关心孩子的身心健康。（不代表所有家长）总觉得给孩子付出了金钱就是最大的爱。也许很多父母真的是全心全意的对孩子好。但是在出现分歧或者是不理解时只会用一句我都是为你好概括一切。导致孩子叛逆的其实不是家长的管教，而是一遍遍说着所有人都知道的道理。提出一个又一个要求。（比如成绩）却从来不去关注孩子内心真正想要什么。都说大爱无声但是如果能够在管教孩子的时候告诉孩子为什么要这么做，告诉孩子这么做对他有什么好处，多听取孩子的看法想法。多交流多理解。而不是仅仅一句都是为你好。一句你要听我话因为我是你父亲去教育孩子。如果一个未成年人从小有家庭关心，得到正确的家庭教育，内心阳光，懂得与人交流的孩子。怎么会是一个沉迷网络，感情丧失，自我封闭，性格叛逆不思进取的孩子。',)","('35.665%',)","('64.335%',)",负向
"('上去啊！如果枷锁无法被打碎，也要用用热血去令其软化！',)","('6.773%',)","('93.227%',)",负向
"('不要放弃！请记住，在你身后有一个强大的祖国！',)","('99.936%',)","('0.064%',)",负向
"('回复 @99453707333_bili :顶一下算是心里安慰吧，不然也没办法做什么有用的帮助',)","('43.596%',)","('56.404%',)",负向
"('微博一直在压热搜，我关注3天了，热度很大，但是没有上过热搜',)","('97.066%',)","('2.934%',)",负向
"('wb有钱就是爹，好多社会新闻都被压热度，我就见过一个，看评论的时候几十万热度一刷新就剩几万，评论也少了好多，这就是wb',)","('0.002%',)","('99.998%',)",负向
"('微博和百度一样，你给钱我就帮你上热搜或者撤热搜',)","('33.004%',)","('66.996%',)",负向
"('微博就是个粪坑[吐]，我记得最大股东好像还是台湾人，微博有钱就上热搜，想压就压',)","('0.224%',)","('99.776%',)",负向
"('当被信任时，就是有了一种责任',)","('97.872%',)","('2.128%',)",负向
"('我初中同学也被送进这样的学校，打的厉害，自己逃出来了，太惨了，因为她是差生，所以家长只认为她做什么都是错的',)","('0.542%',)","('99.458%',)",负向
"('我就是这样子，从小父母上班到很晚，每天回家就一个人，周末父母把我反锁在家里，电视线拔掉，我现在想想，当时我就像他们养的一条狗',)","('47.795%',)","('52.205%',)",负向
"('有些父母既没有教育孩子的知识，也没有教育孩子的能力。孩子与其说是他们的血肉，不如说是他们的负担，千万不要以为我说的只是个例，这在中国是普遍情况。',)","('0.077%',)","('99.923%',)",负向
"('（借楼）同意你的说法。我也有过类似经历。最后是因为一名实习的老师了解到我的情况。联系到了我的班主任和家长。经过他的努力后也是在学期结束后成功的转学。校园孤立和校园暴力以及父母的不理解不支持影响真的很大。但校园暴力是可以被解决的是可以声张的。对于父母方面不要暴脾气，用长时间的行动劝说来打动你的父母。他们虽然不理解你，方式不对，但想为你好是真的。农村学校的父母甚至小学学历的都没有，这件事情千万不能和父母脑脾气。',)","('43.685%',)","('56.315%',)",负向
"('你自己一个人也不要背负着太多啊，上个视频说好的向我们求助的，我们能做些什么？',)","('1.157%',)","('98.843%',)",负向
"('只有转发，举报给官方应该up早都做了，现在只有看影响了，不得不说，若是用舆论影响来决定事件，真的很悲哀。，。可现在我们能做的就只有这个了。[捂脸]这是普通人的无奈。若是有影响力很大正义之士在后面挺，明面支持，这个事件也不会沦落到现在的地步。大都选择了明哲保身啊和观望。唉[无语]',)","('0.003%',)","('99.997%',)",负向
"('转发 让更多人知道就是我们唯一能力所能及的事情了',)","('63.341%',)","('36.659%',)",负向
