content,time
"10月21日全国扫黑办召开新闻发布会，大家关心的这些问题都有了明确的答案。国家监委与最高人民法院、最高人民检察院、公安部、司法部联合印发的《关于在扫黑除恶专项斗争中分工负责、互相配合、互相制约 严惩公职人员涉黑涉恶违法犯罪问题的通知》

全国扫黑除恶专项斗争领导小组办公室：http://www.12337.gov.cn/
中共中央纪律检查委员会/中华人民共和国国家监察委员会：http://www.12388.gov.cn/
中华人民共和国最高人民检察院：http://www.12309.gov.cn/
中华人民共和国公安部举报中心：http://www.12389.gov.cn/
中央网信办（国家互联网信息办公室）违法和不良信息举报中心：http://www.12377.cn/

任何组织和个人不得通过虐待、胁迫等非法手段从事预防和干预未成年人沉迷网络的活动，损害未成年人身心健康，侵犯未成年人合法权益。",2019-10-29 21:14:32
其实很多家长为了治好孩子所谓的网瘾叛逆把孩子送进这种学校真的没有去考虑到为什么会这样，我一直认为网瘾的根本原因其实95%以上不是因为游戏。像之前杨永信说游戏的那种就像毒品一样。因为游戏确实好玩但是真正单靠游戏就能让人上瘾真的不多。很多的孩子网瘾的原因，可能仅仅是家长止注重孩子学习，不去关注孩子的社交生活，不去关注孩子真正的需求。在他在学校被孤立或者是因为性格原因难以融入学校团体的时候只能在虚拟的网络世界寻找自己的快乐。也许是家长的疏于管教，过于专心于事业甚至于不务正业（外出吃饭打麻将）让孩子感受不到家庭的温暖只能吧多余的精力投入到别的地方（比如游戏）。我从来不认为游戏会毁掉一个人。而当一个人沉迷游戏肯定不仅仅是因为游戏好玩。孤独，社交障碍，确实家庭关心，家长教育不当。这些才是导致网瘾的根本原因。而这些正是现在中国教育所缺少的。总觉得提供给孩子好的学习环境让孩子吃饱穿暖上口碑好的学校就是教育了。一味的关心孩子的学习不去关心孩子的身心健康。（不代表所有家长）总觉得给孩子付出了金钱就是最大的爱。也许很多父母真的是全心全意的对孩子好。但是在出现分歧或者是不理解时只会用一句我都是为你好概括一切。导致孩子叛逆的其实不是家长的管教，而是一遍遍说着所有人都知道的道理。提出一个又一个要求。（比如成绩）却从来不去关注孩子内心真正想要什么。都说大爱无声但是如果能够在管教孩子的时候告诉孩子为什么要这么做，告诉孩子这么做对他有什么好处，多听取孩子的看法想法。多交流多理解。而不是仅仅一句都是为你好。一句你要听我话因为我是你父亲去教育孩子。如果一个未成年人从小有家庭关心，得到正确的家庭教育，内心阳光，懂得与人交流的孩子。怎么会是一个沉迷网络，感情丧失，自我封闭，性格叛逆不思进取的孩子。,2019-10-29 22:20:52
上去啊！如果枷锁无法被打碎，也要用用热血去令其软化！,2019-10-30 11:51:24
"不要放弃！

请记住，在你身后有一个强大的祖国！",2019-10-30 01:21:27
回复 @99453707333_bili :顶一下算是心里安慰吧，不然也没办法做什么有用的帮助,2019-10-30 17:09:39
微博一直在压热搜，我关注3天了，热度很大，但是没有上过热搜,2019-10-29 19:57:58
wb有钱就是爹，好多社会新闻都被压热度，我就见过一个，看评论的时候几十万热度一刷新就剩几万，评论也少了好多，这就是wb,2019-10-29 22:01:23
微博和百度一样，你给钱我就帮你上热搜或者撤热搜,2019-10-29 21:51:24
微博就是个粪坑[吐]，我记得最大股东好像还是台湾人，微博有钱就上热搜，想压就压,2019-10-29 22:22:27
我就是这样子，从小父母上班到很晚，每天回家就一个人，周末父母把我反锁在家里，电视线拔掉，我现在想想，当时我就像他们养的一条狗,2019-10-29 22:55:50
有些父母既没有教育孩子的知识，也没有教育孩子的能力。孩子与其说是他们的血肉，不如说是他们的负担，千万不要以为我说的只是个例，这在中国是普遍情况。,2019-10-29 23:57:31
（借楼）同意你的说法。我也有过类似经历。最后是因为一名实习的老师了解到我的情况。联系到了我的班主任和家长。经过他的努力后也是在学期结束后成功的转学。校园孤立和校园暴力以及父母的不理解不支持影响真的很大。但校园暴力是可以被解决的是可以声张的。对于父母方面不要暴脾气，用长时间的行动劝说来打动你的父母。他们虽然不理解你，方式不对，但想为你好是真的。农村学校的父母甚至小学学历的都没有，这件事情千万不能和父母脑脾气。,2019-10-29 23:34:10
你自己一个人也不要背负着太多啊，上个视频说好的向我们求助的，我们能做些什么？,2019-10-29 18:46:12
"只有转发，举报给官方应该up早都做了，现在只有看影响了，不得不说，若是用舆论影响来决定事件，真的很悲哀。，。可现在我们能做的就只有这个了。
[捂脸]这是普通人的无奈。
若是有影响力很大正义之士在后面挺，明面支持，这个事件也不会沦落到现在的地步。大都选择了明哲保身啊和观望。唉[无语]",2019-10-29 21:22:52
不知道该说什么，加油，希望我们写一代当了父母不会出现这样的悲剧,2019-10-29 18:32:26
当被信任时，就是有了一种责任,2019-10-29 18:31:22
我初中同学也被送进这样的学校，打的厉害，自己逃出来了，太惨了，因为她是差生，所以家长只认为她做什么都是错的,2019-10-30 08:54:15
回复 @墨眼泪香 :骗了？我觉得这些家长只不过是自己不敢这么做罢了。不然为什么那么多学生都告诉父母这地方很坏，家长还是把他送进去呢？,2019-10-30 08:19:44
中国社会里有无数的家长被杨永信和豫章书院这些人給骗了！还不理解自己有何错？令人痛心。,2019-10-30 05:07:16
刚开始也是以为豫章书院已经结束了，没想到还有后来，直到现在。。,2019-10-29 19:51:13
豫章书院关门不带表事情解决，就好比一个犯人被抓到最终判决多数要大半年时间,2019-10-30 03:36:40
没了豫章还有别的章，最重要的是家长的态度 。所以家庭教育质量也要整整,2019-10-31 13:57:21
说实话我以为18年左右这事已经解决了。。,2019-10-30 00:50:16
看到这种学校的相关视频.我想把我曾经经历的也说出来.我没那么大的文采我只能把我曾经经历过的事情曝光出来.河南郑州市下属的登封市开办了无数的少林武校（塔沟.小龙武院等等）我曾经被父母送去其中的某武校.里面也是全军事化管理.我从离开那个地方已经两三年了.我只能把我曾经亲眼所见的叙述出来.学校里面体罚学生是以“开棍”进行的.就是用木棍抽大腿根.如果教练打的狠会还会在大腿根用抽棍的方式.就是打下去以后在大腿根上一拉.火辣辣的疼.学校里面也是禁止逃跑的.抓到就打.曾经我们班里有外号个叫“大个儿”的学生.被关在寝室里暴打.当时教练让我们进去收拾屋子的时候.满地的木棍渣和血.很多打人的时候会让全班站着看.有次在一个学生被殴打的时候我曾对一个学生说过我想逃跑的念头.第二天被班里的某教练眼线捅到了教练那里.我也被“开棍”了.当时打完之后我的大腿根整个都是紫黑色.跟视频里的那张图片一模一样.然后在寝室里躺了两周.还有最惨的因为逃跑被抓的学生被打的整个大腿都是黑色.教练对我们学生的人心抓的很准.他知道那些人极端哪些人怂（例如我）那些极端的学生被打完之后会被四肢绑在床上.让其他学生送饭.教练会肆无忌惮的收礼.每次家长来了都会送烟送钱.我第一学期因为爸妈没送钱被管的很惨.教练是不允许私自带零花钱的（因为有零花卡.一周三十家长存钱学校每周往卡里打）.学校里的饭很难吃.而且里面的肉在开饭前教练会让学生把肉挑走.吃饭的时候可以看到教练的碗里满满一盆肉.更有甚者专门用一个碗放肉.学校平时的武术训练很重.一天六7节课一节一小时.家长往零花卡里打钱后.学生一般都会自己再要钱.教练会问然后让家长把钱存他那里.我爸陆陆续续存了一万多.最后我只拿了可能五千不到.剩下的就被教练贪了.因为取钱都看教练心情.心情不好不给你.手机也会被教练收走.我们教练很严.心情好一周一发.一有什么事就收回去.后面第二年为了过的好点我怂恿了我爸贿赂教练.其实我说的不痛不痒的可能.但是里面的教练打人比起这个豫章书院只会更狠更疼.里面的低级教练少说都是练过6七年的.我后面还因为跟另一个班的学生起冲突然后被他们教练暴打.掉了一颗牙.但是因为我们教练官比那个教练大.打我的教练就带我出去补了牙然后送了些牛奶之类的东西.从那次开始我就下定决心要走了.还有很多.,2019-10-29 19:27:33
转发 让更多人知道就是我们唯一能力所能及的事情了,2019-10-29 19:59:39
前几年看豫章书院的负面新闻来着，闹挺大还以为解决了，没想到这会儿还在蹦哒，唉,2019-10-29 22:29:55
还是再说一句，现在豫章书院已经转移到：南昌龙悔心理教育专修学校，毕竟法人都是吴君豹，虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！,2019-10-29 23:20:06
前来纠正，错误消息传播太严重了！“南昌龙悔心理教育专修学院”实则已经吊销，现在名为“堂渊文”，“堂渊文”高管和大股东都是吴军豹，并且该公司在2019年依旧在申请“豫章书院”商标！但是近日，“堂渊文”的高管和股东中吴军豹的名字消失了，取而代之是名为“胡赢风”的人名！详情可以看cv3880828！,2019-11-02 11:40:51
地址: 江西省南昌市江西省南昌市新建县工业大道268号(乘坐238；219路公交到工业三路口站下即可),2019-11-01 11:21:55
"不要再说是豫章修身而不是豫章书院这种误导人的话了，这是吴军豹水军分热度用的，看看B站科普就知道，就是豫章书院回复 @龟壳下天坑 :北宋历史上那个豫章书院早就没了，现在叫南昌大学！
现在南昌只有两个学校带豫章，全都是吴军豹的。
对了，真的豫章书院好像就是现在的南昌大学。",2019-11-01 16:25:57
这个真的只能是奢望了，我想起以前看的一本小说，父母资格证，就是未来社会必须经过包括精神鉴定在内的考核取得资格证后才能生孩子，不然生下孩子也无法取得孩子的抚养权。我觉得可能要社会再发展个一两百年才可能达到那样的技术水平，但是我很希望至少能有个给父母准备的如何教育孩子的教科书。我自认为自己脾气很好了，但是面对小孩子也不知道怎么教育，一不小心就失去耐心，更加对自己未来生活感到可怕，想想自己还是单身，都想单身一辈子了。,2019-10-30 01:26:42
愚蠢的人任何时候都有，不可能的消失的,2019-10-29 22:58:12
回复 @Grace777777 :这个真不好说，也许没有戒网瘾学校，但是可能有其他类似的，身边好多愚昧无知的人。。,2019-10-29 22:30:30
我是一个老师，在之前曝光这些事的时候，我在家长会上专门提及这件事以及对孩子的影响，但是理解我的家长真的不多，最近我跟我父母讨论这个事，他们说：“你有没有考虑过，父母为什么把孩子送过去？有哪个家长回不去了解学校就把孩子送过去的？哪个父母不是为了孩子好的？这些孩子如果不是父母管不了了，拿他们没办法了，为什么要把他们送进去。”我一一回答了这些问题，努力强调：“父母是孩子的第一任老师，学校是德与知识的传授地，孩子的教育是多方面责任的。不能把家庭教育的失败，跟学校教育的失败的责任全部丢给孩子。孩子是一张白纸，你写啥，就是啥。孩子是没有系统的完整的人生观，价值观和是非观的。”但是一点用都没有，还跟我说：“当初如果不是你学习跟玩游戏分的还算清，你也早就进去了，我俩讨论过很多次了。”吓的我背后冷汗一阵一阵的，同时也深深理解到，父母，根本就不会去背锅，他们只会把自己的观念强加到孩子身上，不去考虑教育的过程，只追求结果，只要结果是他们想要的，那就是好的，他们不会去考虑过程，唯结果论（这也是社会的现象），我最怕的就是我最后也变成这样，因为我改变不了我身边大环境的认知。,2019-10-30 16:16:34
我感觉这是一个求救视频，曾经这些志愿者拯救了豫章书院的学生，而现在他们面对报复时，就如死亡可怕，但更可怕的是被告知死亡。我想这些志愿者现在也许生活在不知报复何会出现，在何处出现的焦虑和恐惧，这会逼疯人。曾经他们拯救他人，而现在谁来拯救他们。网络舆论？我感到无奈而已愤怒，唯有苦笑一下。望正义不会缺席,2019-10-30 11:28:46
